,period,currency_id,currency_name_th,currency_name_eng,buying_sight,buying_transfer,selling,mid_rate
0,2020-01-31,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.8479,33.9524,34.6652,34.3088
1,2020-01-30,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.8717,33.9728,34.6445,34.3087
2,2020-01-29,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.5528,33.6482,34.3324,33.9903
3,2020-01-28,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.4513,33.5576,34.259,33.9083
4,2020-01-27,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.342,33.453,34.1596,33.8063
5,2020-01-24,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.2496,33.3539,34.0596,33.7068
6,2020-01-23,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.2646,33.3669,34.103,33.735
7,2020-01-22,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.2052,33.3159,34.0399,33.6779
8,2020-01-21,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.1925,33.3025,34.0235,33.663
9,2020-01-20,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.2532,33.3593,34.0709,33.7151
10,2020-01-17,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.4636,33.5625,34.2531,33.9078
11,2020-01-16,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.2835,33.3899,34.1066,33.7483
12,2020-01-15,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.2078,33.3187,34.025,33.6719
13,2020-01-14,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.2205,33.3252,34.0305,33.6779
14,2020-01-13,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.0989,33.2024,33.9187,33.5606
15,2020-01-10,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.1263,33.2409,33.9574,33.5992
16,2020-01-09,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.1984,33.3081,34.0175,33.6628
17,2020-01-08,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.3153,33.4228,34.1227,33.7728
18,2020-01-07,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.2589,33.37,34.0631,33.7166
19,2020-01-06,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.1713,33.2848,34.0019,33.6434
20,2020-01-03,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.2259,33.3347,34.0279,33.6813
21,2020-01-02,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.2871,33.402,34.1115,33.7568
22,2020-02-28,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),34.3009,34.4033,35.1003,34.7518
23,2020-02-27,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),34.2047,34.3102,35.0325,34.6714
24,2020-02-26,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),34.1565,34.259,34.959,34.609
25,2020-02-25,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.8789,33.9795,34.6977,34.3386
26,2020-02-24,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.8645,33.9631,34.6844,34.3238
27,2020-02-21,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.6127,33.7135,34.4369,34.0752
28,2020-02-20,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.3319,33.4318,34.1567,33.7943
29,2020-02-19,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.2105,33.3196,34.0216,33.6706
30,2020-02-18,EUR,ยูโรโซน : ยูโร (EUR),EURO ZONE : EURO (EUR),33.3422,33.4461,34.1497,33.7979
